Question ID,Question,Forecast_Date,ForecastDate_Probability,Resolution,Closing_Date,Tournament,forecast_date_formatted,resolution_binary,community_prob
22526,"Will Mike Johnson be Speaker of the House on May 20, 2024?",4/24/24,90%,Yes,5/20/24,Bridgewater 2024,"April 24, 2024",1,0.9
31296,Will at least twice as many deportations by U.S. ICE occur in Fiscal Year 2025 compared with Fiscal Year 2024?,2/1/25,48%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.48
40216,Will the upper bound of the federal funds rate be 4.00% or higher at the December 2025 FOMC meeting?,10/10/25,33%,No,12/9/25,RAND x Metaculus 2026,"October 10, 2025",0,0.33
20747,Will Bitcoin go up over 2024?,1/21/24,65%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.65
31044,Will the US Congress pass a bill implementing Trump's tariff policies in 2025?,2/1/25,11%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.11
31253,Will the US unemployment rate in November 2025 be below the rate in November 2024?,2/1/25,40%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.4
31118,Will Benjamin Netanyahu remain Prime Minister of Israel throughout 2025?,2/1/25,70%,Yes,1/1/26,ACX 2025,"February 01, 2025",1,0.7
41361,"In February 2026, will the weekly amount of finished motor gasoline supplied in the U.S. be highest in the final week of the month?",1/31/26,28%,No,3/1/26,Bridgewater 2026,"January 31, 2026",0,0.28
20783,Will Ali Khamenei cease to be supreme leader of Iran in 2024?,1/21/24,15%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.15
40726,Will Nvidia's stock price reach a new record close in February 2026?,1/31/26,38%,No,3/1/26,Bridgewater 2026,"January 31, 2026",0,0.38
41356,"Will any US electric utility announce a $5 billion capex increase, citing data center demand, between January 13 and March 12, 2026?",1/13/26,65%,Yes,3/12/26,Bridgewater 2026,"January 13, 2026",1,0.65
40195,"Will South Korea sign arms export deals worth >$5bn with any country between October 1 and December 15, 2025?",10/10/25,35%,No,12/15/25,RAND x Metaculus 2026,"October 10, 2025",0,0.35
31252,Will US federal interest rates at the end of 2025 be lower than at the end of 2024?,2/1/25,77%,Yes,1/1/26,ACX 2025,"February 01, 2025",1,0.77
20749,Will there be faithless electors in the 2024 US Presidential election?,1/21/24,40%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.4
31271,Will real housing prices in the US increase more in 2025 compared to 2024?,2/1/25,55%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.55
40186,Will the EU have an average annual inflation rate of at least 2.5% for any month before December 2025?,10/6/25,55%,Yes,12/1/25,RAND x Metaculus 2026,"October 06, 2025",1,0.55
20748,Will the FDA or EMA withdraw approval of semaglutide for the treatment of obesity or diabetes in 2024?,1/21/24,8%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.08
20757,Will the 2024 light duty electric vehicle sales share exceed 11% in the US through November 2024?,1/21/24,68%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.68
20786,Will Donald Trump be convicted of a felony before the 2024 presidential election?,1/21/24,36%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.36
20785,Will SpaceX attempt to catch a Starship booster with the tower in 2024?,1/21/24,32%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.32
22382,"Will Joe Biden issue his 11th veto before May 17, 2024?",4/19/24,45%,Yes,5/17/24,Bridgewater 2024,"April 19, 2024",1,0.45
40181,Will Russia’s annual GDP growth rate exceed 1.5% in Q3 2025?,10/8/25,15%,No,11/14/25,RAND x Metaculus 2026,"October 08, 2025",0,0.15
20771,Will Mike Johnson remain Speaker for all of 2024?,1/21/24,70%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.7
40201,Will Philadelphia Union win the 2025 MLS championship for US soccer?,10/11/25,14%,No,12/5/25,RAND x Metaculus 2026,"October 11, 2025",0,0.14
31620,Will Israel establish direct governmental control of the Gaza Strip in 2025?,2/1/25,9%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.09
20790,Will there be a serious radiation incident at any nuclear plant in Ukraine before 2025?,1/21/24,8%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.08
40183,"Will North Korea conduct a nuclear test before December 16, 2025?",10/10/25,5%,No,12/16/25,RAND x Metaculus 2026,"October 10, 2025",0,0.05
20774,"Will there be a US government shutdown before January 1, 2025?",1/21/24,25%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.25
20781,Will X declare bankruptcy in 2024?,1/21/24,10%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.1
31123,Will Iran possess a nuclear weapon before 2026?,2/1/25,12%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.12
20754,Will the WHO declare a global health emergency (PHEIC) in 2024?,1/21/24,26%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.26
20775,Will SpaceX's Starship reach orbit in 2024?,1/21/24,71%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.71
41037,"Will the United States gain less than 100,000 new nonfarm jobs between December 2025 and February 2026?",1/22/26,70%,Yes,3/1/26,Bridgewater 2026,"January 22, 2026",1,0.7
